2,23,2,29,1,2,18,2,5
2,23,1,18,2,2,18,2,2
2,0,1,34,3,2,20,2,2
1,53,1,46,2,1,53,1,5
2,20,1,15,1,2,20,4,5
2,20,2,23,1,2,20,4,4
2,19,2,25,1,2,19,5,5
2,19,2,15,1,2,19,4,4
2,19,2,10,1,2,19,4,4
2,19,2,16,1,2,19,4,2
2,50,2,24,3,2,23,2,5
2,0,2,12,2,2,19,2,4
1,21,1,16,1,1,21,4,5
2,20,2,20,1,2,20,4,5
1,21,1,8,1,1,21,5,5
1,23,1,15,1,1,23,3,5
2,0,,,3,2,19,1,2
2,19,2,10,1,2,19,4,5
1,19,1,17,1,1,19,4,4
1,12,2,8,2,2,20,1,2
2,20,2,22,1,2,20,4,5
2,22,2,9,1,2,22,2,3
1,20,1,20,1,1,19,4,4
1,24,1,34,1,1,21,2,5
2,21,2,10,1,2,21,5,5
2,21,2,15,1,2,21,4,3
2,19,2,13,1,2,19,4,4
2,0,1,21,2,2,18,2,4
0,0,1,25,2,1,19,5,2
